Date,Close,Open,High,Low,Change
2012-01-02,1155.15,1159.0,1159.0,1153.4,-0.0034999999999999996
2012-01-03,1145.7,1155.65,1155.7,1144.7,-0.008199999999999999
2012-01-04,1148.35,1145.7,1152.0,1144.9,0.0023
2012-01-05,1156.05,1147.85,1156.5,1147.4,0.0067
2012-01-06,1160.5,1155.4,1163.4,1153.9,0.0038
2012-01-09,1158.05,1161.0,1167.2,1158.05,-0.0021
2012-01-10,1154.55,1158.05,1159.7,1153.55,-0.003
2012-01-11,1159.55,1154.55,1162.8,1154.55,0.0043
2012-01-12,1152.45,1159.55,1161.8,1152.25,-0.0060999999999999995
2012-01-13,1151.35,1152.45,1154.3,1147.0,-0.001
2012-01-16,1152.0,1150.6,1155.55,1150.6,0.0006
2012-01-17,1143.75,1152.75,1152.75,1143.6,-0.0072
2012-01-18,1139.1,1143.75,1146.7,1139.1,-0.0040999999999999995
2012-01-19,1134.4,1139.1,1139.1,1134.4,-0.0040999999999999995
2012-01-20,1133.5,1134.3,1137.6,1133.4,-0.0008
2012-01-23,1128.15,1134.0,1134.0,1126.4,-0.004699999999999999
2012-01-24,1130.05,1128.15,1135.0,1128.15,0.0017000000000000001
2012-01-25,1127.55,1130.05,1130.05,1125.4,-0.0022
2012-01-26,1122.5,1127.05,1127.05,1120.3,-0.0045000000000000005
2012-01-27,1120.75,1125.15,1126.55,1120.75,-0.0016
2012-01-30,1128.25,1122.5,1129.95,1120.5,0.0067
2012-01-31,1126.2,1128.5,1130.45,1121.25,-0.0018
2012-02-01,1123.6,1125.7,1130.15,1123.6,-0.0023
2012-02-02,1117.15,1124.1,1124.1,1116.15,-0.005699999999999999
2012-02-03,1117.0,1116.9,1122.5,1116.5,-0.0001
2012-02-06,1120.5,1114.6,1122.8,1114.6,0.0031
2012-02-07,1117.5,1122.4,1124.1,1117.5,-0.0027
2012-02-08,1117.65,1118.0,1119.0,1116.0,0.0001
2012-02-09,1119.05,1117.65,1121.7,1115.5,0.0013
2012-02-10,1123.5,1119.4,1124.4,1117.4,0.004
2012-02-13,1120.2,1123.5,1127.2,1119.5,-0.0029
2012-02-14,1126.3,1120.7,1127.05,1120.7,0.0054
2012-02-15,1125.15,1126.3,1126.3,1120.8,-0.001
2012-02-16,1125.95,1125.15,1135.25,1125.15,0.0007000000000000001
2012-02-17,1126.88,1126.83,1128.88,1122.53,0.0008
2012-02-20,1121.9,1126.75,1126.75,1120.3,-0.0044
2012-02-21,1125.55,1121.9,1128.35,1121.7,0.0033
2012-02-22,1128.7,1125.55,1129.25,1124.6,0.0028000000000000004
2012-02-23,1127.65,1128.7,1130.7,1126.3,-0.0009
2012-02-24,1124.5,1127.65,1127.65,1123.6,-0.0028000000000000004
2012-02-27,1126.15,1124.5,1132.05,1124.5,0.0015
2012-02-28,1125.85,1126.15,1128.8,1124.4,-0.0003
2012-02-29,1119.3,1125.85,1126.4,1116.4,-0.0058
2012-03-01,1114.9,1119.3,1120.95,1114.9,-0.0039000000000000003
2012-03-02,1115.5,1113.9,1117.0,1112.0,0.0005
2012-03-05,1118.55,1115.25,1120.0,1115.25,0.0027
2012-03-06,1124.5,1118.8,1125.95,1116.1,0.0053
2012-03-07,1122.95,1124.25,1129.15,1122.95,-0.0014000000000000002
2012-03-08,1115.45,1123.45,1125.7,1115.45,-0.0067
2012-03-09,1117.0,1114.5,1119.2,1114.5,0.0014000000000000002
2012-03-12,1123.85,1116.6,1125.45,1116.6,0.0060999999999999995
2012-03-13,1123.2,1123.85,1127.6,1119.6,-0.0006
2012-03-14,1132.95,1123.2,1132.95,1121.1,0.0087
2012-03-15,1124.4,1132.95,1132.95,1122.95,-0.0075
2012-03-16,1125.9,1124.1,1126.0,1122.9,0.0013
2012-03-19,1120.05,1126.3,1126.3,1119.85,-0.0052
2012-03-20,1127.85,1119.85,1128.65,1119.85,0.006999999999999999
2012-03-21,1130.4,1127.85,1130.75,1125.2,0.0023
2012-03-22,1133.3,1130.4,1133.3,1127.3,0.0026
2012-03-23,1135.5,1132.2,1135.8,1131.8,0.0019
2012-03-26,1133.25,1134.3,1142.25,1132.75,-0.002
2012-03-27,1136.55,1135.8,1139.9,1132.45,0.0029
2012-03-28,1137.3,1137.9,1140.1,1134.75,0.0007000000000000001
2012-03-29,1139.15,1135.9,1140.4,1135.4,0.0016
2012-03-30,1131.9,1137.6,1138.1,1130.3,-0.0064
2012-04-02,1125.95,1133.5,1133.5,1125.95,-0.0053
2012-04-03,1125.85,1127.3,1127.3,1122.1,-0.0001
2012-04-04,1131.15,1125.25,1131.65,1122.4,0.004699999999999999
2012-04-05,1130.4,1131.15,1133.15,1127.55,-0.0007000000000000001
2012-04-06,1132.75,1128.95,1133.3,1128.95,0.0021
2012-04-09,1137.5,1135.4,1139.2,1135.4,0.0042
2012-04-10,1139.65,1138.05,1139.75,1134.95,0.0019
2012-04-11,1143.7,1139.9,1147.35,1139.9,0.0036
2012-04-12,1135.05,1142.8,1145.2,1135.05,-0.0076
2012-04-13,1134.5,1135.4,1136.8,1131.8,-0.0005
2012-04-16,1136.1,1136.45,1139.8,1135.0,0.0014000000000000002
2012-04-17,1134.55,1137.5,1142.3,1134.55,-0.0014000000000000002
2012-04-18,1140.65,1134.25,1141.4,1133.2,0.0054
2012-04-19,1140.65,1138.95,1142.05,1136.8,0.0
2012-04-20,1139.35,1138.4,1142.25,1137.35,-0.0011
2012-04-23,1141.8,1139.05,1142.82,1137.2,0.0022
2012-04-24,1139.45,1141.2,1142.7,1137.45,-0.0021
2012-04-25,1138.05,1137.6,1141.6,1136.1,-0.0012
2012-04-26,1133.0,1137.4,1139.45,1132.0,-0.0044
2012-04-27,1131.37,1134.1,1136.7,1131.37,-0.0014000000000000002
2012-04-30,1130.15,1131.5,1133.4,1127.71,-0.0011
